  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
029740 99999 201708020350 120   8 ***  25 *** * * *  3.8 81 ** ** ** ** ** ** ** *   61   59 ****** 29.85 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708020400 144  11  16  10 OVC * * *  4.7 ** ** ** ** 62 ** ** ** *   61   59 1011.6 ***** 1005.2 *** *** ***** ***** ***** *****  0 
029740 99999 201708020420 120   9 ***  10 *** * * *  3.1 63 ** ** ** ** ** ** ** *   61   59 ****** 29.85 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708020450 130  10 ***  10 *** * * *  3.1 63 ** ** ** ** ** ** ** *   61   59 ****** 29.83 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708020500 151   9  13   6 OVC * * *  3.8 ** ** ** ** 63 ** ** ** *   60   59 1010.4 ***** 1004.0 *** *** ***** ***** ***** *****  0 
029740 99999 201708020520 130   7 ***   8 *** * * *  2.5 63 ** ** ** ** ** ** ** *   59   59 ****** 29.80 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708020550 120  10 ***   6 *** * * *  6.2 61 ** ** ** ** ** ** ** *   61   59 ****** 29.80 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708020600 126  11  14   4 OVC * * *  6.1 ** ** ** ** 62 ** ** ** 6   60   59 1009.0 ***** 1002.6  66  60  0.14 ***** ***** *****  0 
029740 99999 201708020620 100   9 ***   6 *** * * *  2.5 63 ** ** ** ** ** ** ** *   61   59 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708020650 990   5 ***   6 *** * * *  2.5 63 ** ** ** ** ** ** ** *   61   59 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708020700 101   5 ***   5 OVC * * *  5.3 ** ** ** ** 62 ** ** ** *   60   60 1008.3 ***** 1002.0 *** *** ***** ***** ***** *****  0 
029740 99999 201708020720 060   6 ***   6 *** * * *  6.2 51 ** ** ** ** ** ** ** *   61   59 ****** 29.74 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708020750 990   6 ***   6 *** * * *  6.2 61 ** ** ** ** ** ** ** *   61   59 ****** 29.74 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708020800 104   5 ***   4 OVC * * *  5.2 ** ** ** ** 82 ** ** ** *   61   60 1007.6 ***** 1001.3 *** *** ***** ***** ***** *****  0 
029740 99999 201708020820 990   1 ***   6 *** * * *  2.2 63 ** ** ** ** ** ** ** *   61   59 ****** 29.74 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708020850 320   3 ***   7 *** * * *  1.9 61 10 ** ** ** ** ** ** *   61   59 ****** 29.74 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708020900 350   6 ***   3 BKN * * *  2.7 ** ** ** ** 53 ** ** ** 8   61   61 1007.1 ***** 1000.7 *** *** ***** ***** ***** *****  0 
029740 99999 201708020920 330   6 ***  12 *** * * *  5.0 51 ** ** ** ** ** ** ** *   63   61 ****** 29.74 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708020950 310   7 ***   8 *** * * *  6.2 ** ** ** ** ** ** ** ** *   63   61 ****** 29.74 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708021000 311   7 ***   5 OVC * * *  6.8 ** ** ** ** 22 ** ** ** *   63   61 1007.2 ***** 1000.8 *** *** ***** ***** ***** *****  0 
029740 99999 201708021020 280   9 ***   9 *** * * *  6.2 ** ** ** ** ** ** ** ** *   63   61 ****** 29.74 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708021050 280  10 ***   9 *** * * *  6.2 ** ** ** ** ** ** ** ** *   64   61 ****** 29.74 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708021100 289  10  14   8 BKN * * * 31.2 ** ** ** ** 00 ** ** ** *   65   61 1007.2 ***** 1000.9 *** *** ***** ***** ***** *****  0 
029740 99999 201708021120 270  13 ***  80 *** * * *  6.2 ** ** ** ** ** ** ** ** *   66   61 ****** 29.74 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708021150 270  15 ***  45 *** * * *  6.2 51 ** ** ** ** ** ** ** *   64   61 ****** 29.74 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708021200 287  13  18   8 BKN * * * 25.0 51 ** ** ** ** ** ** ** 8   65   61 1007.7 ***** 1001.4 *** *** ***** ***** ***** *****  0 
029740 99999 201708021220 280  11 ***  58 *** * * *  6.2 ** ** ** ** ** ** ** ** *   64   61 ****** 29.74 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708021250 280  11 *** 200 *** * * *  6.2 ** ** ** ** ** ** ** ** *   66   59 ****** 29.74 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708021300 308  12  17  18 BKN * * * 31.2 ** ** ** ** 00 ** ** ** *   66   58 1007.7 ***** 1001.4 *** *** ***** ***** ***** *****  0 
029740 99999 201708021320 280  13 *** 200 *** * * *  6.2 ** ** ** ** ** ** ** ** *   66   59 ****** 29.74 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708021350 270  10 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   68   59 ****** 29.74 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708021400 284  11  15 722 SCT * * * 31.2 ** ** ** ** 00 ** ** ** *   70   60 1007.4 ***** 1001.2 *** *** ***** ***** ***** *****  0 
029740 99999 201708021420 990  10 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   68   59 ****** 29.74 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708021450 260  10 ***  35 *** * * *  6.2 16 ** ** ** ** ** ** ** *   70   61 ****** 29.74 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708021500 264  13  18 722 SCT * * * 31.2 15 ** ** ** ** ** ** ** 5   70   59 1007.3 ***** 1001.1 *** *** ***** ***** ***** *****  0 
029740 99999 201708021520 260  10 ***  40 *** * * *  6.2 ** ** ** ** ** ** ** ** *   70   59 ****** 29.74 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708021550 260  10 ***  40 *** * * *  6.2 ** ** ** ** ** ** ** ** *   68   55 ****** 29.74 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708021600 283  10  15 *** BKN * * * 31.2 ** ** ** ** 00 ** ** ** *   69   57 1007.4 ***** 1001.2 *** *** ***** ***** ***** *****  0 
029740 99999 201708021620 270  11 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   68   57 ****** 29.74 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708021650 270  11 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   68   59 ****** 29.74 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708021700 284  10  14 722 CLR * * * 31.2 ** ** ** ** 00 ** ** ** *   69   58 1007.7 ***** 1001.5 *** *** ***** ***** ***** *****  0 
029740 99999 201708021720 280   9 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   68   59 ****** 29.74 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708021750 250   6 *** *** *** * * *  6.2 ** ** ** ** ** ** ** ** *   66   59 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
