"Observation station","Year","Month","Day","Time [Local time]","Air temperature mean [°C]","Relative humidity mean [%]","Gust speed mean [m/s]"
"Rovaniemi railway station","2024","6","12","05:00","8.1","96.5","1.1"
"Rovaniemi railway station","2024","6","12","06:00","9.2","92.2","1.7"
"Rovaniemi railway station","2024","6","12","07:00","10.9","84.7","2.6"
"Rovaniemi railway station","2024","6","12","08:00","12.8","77","2.8"
"Rovaniemi railway station","2024","6","12","09:00","13.7","71.8","1.9"
"Rovaniemi railway station","2024","6","12","10:00","14.4","67.8","2.2"
"Rovaniemi railway station","2024","6","12","11:00","15.8","62.7","3.2"
"Rovaniemi railway station","2024","6","12","12:00","15.7","58.3","3.3"
"Rovaniemi railway station","2024","6","12","13:00","17","53.6","3.1"
"Rovaniemi railway station","2024","6","12","14:00","17.5","47.6","3.8"
"Rovaniemi railway station","2024","6","12","15:00","17.5","47.2","7.8"
"Rovaniemi railway station","2024","6","12","16:00","15.2","56.4","3.4"
"Rovaniemi railway station","2024","6","12","17:00","15.7","59.6","3.1"
"Rovaniemi railway station","2024","6","12","18:00","17.4","55.6","5.1"
"Rovaniemi railway station","2024","6","12","19:00","16.1","52.6","5"
"Rovaniemi railway station","2024","6","12","20:00","15.8","52.6","4.9"
"Rovaniemi railway station","2024","6","12","21:00","14.5","63.1","3.3"
"Rovaniemi railway station","2024","6","12","22:00","13.7","73.7","2.6"
"Rovaniemi railway station","2024","6","12","23:00","13","80.6","1.5"
"Rovaniemi railway station","2024","6","13","00:00","12.3","83.9","1.3"
"Rovaniemi railway station","2024","6","13","01:00","11","89","1.4"
"Rovaniemi railway station","2024","6","13","02:00","9.9","93.7","0.7"
"Rovaniemi railway station","2024","6","13","03:00","9.3","95.3","1.1"
"Rovaniemi railway station","2024","6","13","04:00","8.7","96","1.3"
"Rovaniemi railway station","2024","6","13","05:00","8.5","97","1.4"
"Rovaniemi railway station","2024","6","13","06:00","10.2","90.3","2.1"
"Rovaniemi railway station","2024","6","13","07:00","12.6","79.1","2.1"
"Rovaniemi railway station","2024","6","13","08:00","14","73","2.7"
"Rovaniemi railway station","2024","6","13","09:00","15.7","66.6","2.9"
"Rovaniemi railway station","2024","6","13","10:00","17.4","56.6","3.3"
"-","2024","6","13","11:00","-","-","-"
"Rovaniemi railway station","2024","6","13","12:00","19.3","46","5.7"
"Rovaniemi railway station","2024","6","13","13:00","19","44.3","5.3"
"Rovaniemi railway station","2024","6","13","14:00","19.9","43.4","5.6"
"Rovaniemi railway station","2024","6","13","15:00","20.1","38.8","6"
"Rovaniemi railway station","2024","6","13","16:00","20","38.2","5.2"
"Rovaniemi railway station","2024","6","13","17:00","17","55.4","7.1"
"Rovaniemi railway station","2024","6","13","18:00","15.7","63.3","3.9"
"Rovaniemi railway station","2024","6","13","19:00","16.9","57","3.9"
"Rovaniemi railway station","2024","6","13","20:00","15.6","70.8","3.5"
"Rovaniemi railway station","2024","6","13","21:00","14.9","77","3.6"
"Rovaniemi railway station","2024","6","13","22:00","13.6","89","1.4"
"Rovaniemi railway station","2024","6","13","23:00","13","89.2","1.7"
"Rovaniemi railway station","2024","6","14","00:00","12.8","86.9","2.7"
"Rovaniemi railway station","2024","6","14","01:00","12.3","86.7","2.9"
"Rovaniemi railway station","2024","6","14","02:00","11.8","85.1","2.9"
"Rovaniemi railway station","2024","6","14","03:00","10.8","92.5","1.6"
"Rovaniemi railway station","2024","6","14","04:00","10.1","97.2","0.8"
"Rovaniemi railway station","2024","6","14","05:00","10.3","94.3","1.6"
"Rovaniemi railway station","2024","6","14","06:00","11.7","85.5","3.2"
"Rovaniemi railway station","2024","6","14","07:00","13","80.9","3"
"Rovaniemi railway station","2024","6","14","08:00","14","79.7","2.9"
"Rovaniemi railway station","2024","6","14","09:00","15.4","73.9","3.3"
"Rovaniemi railway station","2024","6","14","10:00","16.9","64.4","4.1"
"Rovaniemi railway station","2024","6","14","11:00","17.2","59.7","2.8"
"Rovaniemi railway station","2024","6","14","12:00","15.9","65.8","4.2"
"Rovaniemi railway station","2024","6","14","13:00","14","81.5","3.3"
"Rovaniemi railway station","2024","6","14","14:00","16","68.6","2.7"
"Rovaniemi railway station","2024","6","14","15:00","18","56.4","4"
"Rovaniemi railway station","2024","6","14","16:00","17.9","55.1","2.9"
"Rovaniemi railway station","2024","6","14","17:00","16.6","69.3","5.5"
"Rovaniemi railway station","2024","6","14","18:00","14.8","78.7","3.6"
"Rovaniemi railway station","2024","6","14","19:00","12.4","92","5.5"
"Rovaniemi railway station","2024","6","14","20:00","12.3","95.4","2.9"
"Rovaniemi railway station","2024","6","14","21:00","13.1","89.9","2.3"
"Rovaniemi railway station","2024","6","14","22:00","13","91.9","2.3"
"Rovaniemi railway station","2024","6","14","23:00","12.6","95.2","0.9"
"Rovaniemi railway station","2024","6","15","00:00","12.6","93.4","1.1"
"Rovaniemi railway station","2024","6","15","01:00","11.8","97.1","2"
"Rovaniemi railway station","2024","6","15","02:00","11.7","96.6","1.3"
"Rovaniemi railway station","2024","6","15","03:00","11.6","97.2","1.8"
"Rovaniemi railway station","2024","6","15","04:00","11.5","97.6","1.3"
"Rovaniemi railway station","2024","6","15","05:00","11.5","97.7","1.6"
"Rovaniemi railway station","2024","6","15","06:00","11.2","98.3","1.5"
"Rovaniemi railway station","2024","6","15","07:00","11.5","98.8","3"
"Rovaniemi railway station","2024","6","15","08:00","11.1","94.9","4"
"Rovaniemi railway station","2024","6","15","09:00","10.2","96.3","3"
"Rovaniemi railway station","2024","6","15","10:00","10.2","94.5","2.4"
"Rovaniemi railway station","2024","6","15","11:00","10.6","92","2"
"Rovaniemi railway station","2024","6","15","12:00","11.2","92.1","2.1"
"Rovaniemi railway station","2024","6","15","13:00","12.1","91.8","2.4"
"Rovaniemi railway station","2024","6","15","14:00","14","82.3","2.5"
"Rovaniemi railway station","2024","6","15","15:00","15.5","68.3","3.9"
"Rovaniemi railway station","2024","6","15","16:00","16.2","67.2","4"
"Rovaniemi railway station","2024","6","15","17:00","17.5","50.1","5.7"
"Rovaniemi railway station","2024","6","15","18:00","17.3","44.7","7.2"
"Rovaniemi railway station","2024","6","15","19:00","16.7","41.9","5.8"
"Rovaniemi railway station","2024","6","15","20:00","15.8","46.7","5.2"
"Rovaniemi railway station","2024","6","15","21:00","15.5","50.1","5.3"
"Rovaniemi railway station","2024","6","15","22:00","14.5","57.6","4.7"
"Rovaniemi railway station","2024","6","15","23:00","13.5","62.5","3.3"
"Rovaniemi railway station","2024","6","16","00:00","12","72.7","2.2"
"Rovaniemi railway station","2024","6","16","01:00","10.4","80.8","1.7"
"Rovaniemi railway station","2024","6","16","02:00","9.3","86.6","1"
"Rovaniemi railway station","2024","6","16","03:00","8.5","89.7","1.1"
"Rovaniemi railway station","2024","6","16","04:00","8.2","91.5","0.7"
"Rovaniemi railway station","2024","6","16","05:00","9","92.1","1.3"
"Rovaniemi railway station","2024","6","16","06:00","10.1","86.6","1.9"
"Rovaniemi railway station","2024","6","16","07:00","11.6","82.4","1.9"
"Rovaniemi railway station","2024","6","16","08:00","13.5","82.5","5.9"
"Rovaniemi railway station","2024","6","16","09:00","15.1","74","4.6"
"Rovaniemi railway station","2024","6","16","10:00","15.8","69.3","5.7"
"Rovaniemi railway station","2024","6","16","11:00","17.7","56.9","7.4"
"Rovaniemi railway station","2024","6","16","12:00","17.1","58.8","7.4"
"Rovaniemi railway station","2024","6","16","13:00","18.1","54.2","8.2"
"Rovaniemi railway station","2024","6","16","14:00","19.4","41.8","8.5"
"Rovaniemi railway station","2024","6","16","15:00","19.5","41.4","10"
"Rovaniemi railway station","2024","6","16","16:00","19.9","39.6","9.7"
"Rovaniemi railway station","2024","6","16","17:00","19.8","43.5","9.5"
"Rovaniemi railway station","2024","6","16","18:00","20.3","42.2","9.4"
"Rovaniemi railway station","2024","6","16","19:00","20","43.3","9.8"
"Rovaniemi railway station","2024","6","16","20:00","20.1","45.3","7"
"Rovaniemi railway station","2024","6","16","21:00","19.2","49.2","5.7"
"Rovaniemi railway station","2024","6","16","22:00","18.4","52.2","4.1"
"Rovaniemi railway station","2024","6","16","23:00","17","57.2","2.5"
"Rovaniemi railway station","2024","6","17","00:00","15.3","65.9","1.2"
"Rovaniemi railway station","2024","6","17","01:00","14.7","76.4","1.6"
"Rovaniemi railway station","2024","6","17","02:00","14.3","77.2","1.4"
"Rovaniemi railway station","2024","6","17","03:00","13.8","83.8","1.4"
"Rovaniemi railway station","2024","6","17","04:00","14.2","80.6","1.7"
"Rovaniemi railway station","2024","6","17","05:00","13.7","85.9","2.6"
